id,subscriberAccount,email,birthday,contract,contractDate,isLivingApartment,residents,period,isRemovalHouseholdWaste,utr,passport,surname,name,middleName,phone,additionalPhone,accountType,apartment,comment,isEligibleForBenefit,houseId,streetId
1,011,,,0011,2024-06-20,t,1,2024-06-20,t,123,123,alex,alex,alex,0222222222,0222222222,Бюджетна установа,1,,f,2,2
2,543,,,543,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
31,978,,,534,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
32,6453,,,43,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
33,456,,,6453,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
34,9789,,,452,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
35,645,,,876,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
36,789,,,8675,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
37,648,,,4235,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
38,84,,,5423532,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
39,5432,,,546,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
40,8564,,,5436543,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
41,7654,,,543653,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
42,3456,,,57,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
43,765,,,687,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
44,9780,,,6789,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
45,312,,,234,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
46,234,,,321,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
47,534,,,123,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
48,374,,,9789,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
49,423,,,312,2024-06-01,t,543,2024-06-21,t,534,53,543,534,53,543,543,Фізична особа,543,,f,2,1
50,54654,,,6456,2024-06-01,t,6544,2024-06-22,t,645,546,456,456,456,546,456,Фізична особа,5445,,f,2,1
51,1,,,5454,2024-06-01,t,5454,2024-06-08,t,545,4545,45454,4545,54,5454,5454,Фізична особа,545,,f,4,1
